Date and Time:                Mon Jul 20 15:06:39.007 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1.04035
Accumulate Cycle Time (secs): 1.0403
Frequency (Hz):               0.96122
Number of Accumulations:      20
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                13925
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-1306
Wavelength (nm):              383
Grating Groove Density (l/mm):2401.21
Grating Blaze:                300
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



381.70029	20428
381.70648	20574
381.71268	20565
381.71884	20691
381.72504	20757
381.73123	20723
381.73743	20695
381.74359	20662
381.74979	20825
381.75598	20805
381.76218	20871
381.76834	20898
381.77454	20948
381.78073	20991
381.78693	20981
381.79312	21092
381.79929	21135
381.80548	21125
381.81168	21178
381.81787	21108
381.82404	21200
381.83023	21079
381.83643	20972
381.84259	21039
381.84879	21031
381.85498	21127
381.86118	21085
381.86734	21006
381.87354	21012
381.87973	21043
381.88593	21076
381.89209	21198
381.89828	21291
381.90448	21252
381.91068	21151
381.91684	21237
381.92303	21154
381.92923	21161
381.93539	21153
381.94159	21223
381.94778	21205
381.95395	21240
381.96014	21335
381.96634	21142
381.97253	21290
381.9787	21272
381.98489	21184
381.99109	21131
381.99725	21079
382.00345	21110
382.00964	21049
382.01581	20970
382.022	21078
382.0282	21031
382.03439	21064
382.04056	21016
382.04675	21150
382.05295	21112
382.05911	21284
382.06531	21255
382.0715	21302
382.07767	21223
382.08386	21195
382.09006	21186
382.09622	21098
382.10242	21147
382.10861	21162
382.11478	21056
382.12097	21090
382.12717	21079
382.13333	21076
382.13953	21077
382.14569	21215
382.15189	21202
382.15808	21198
382.16425	21206
382.17044	21250
382.17664	21105
382.1828	21251
382.189	21118
382.19519	21291
382.20135	21203
382.20755	21266
382.21371	21272
382.21991	21276
382.2261	21297
382.23227	21359
382.23846	21388
382.24466	21375
382.25082	21419
382.25702	21352
382.26318	21383
382.26938	21290
382.27557	21335
382.28174	21201
382.28793	21297
382.2941	21191
382.30029	21277
382.30649	21311
382.31265	21416
382.31885	21239
382.32501	21168
382.33121	21207
382.3374	21297
382.34357	21121
382.34976	21046
382.35593	21183
382.36212	21079
382.36832	21212
382.37448	21132
382.38068	21201
382.38684	21191
382.39304	21326
382.3992	21300
382.4054	21339
382.41159	21377
382.41776	21341
382.42395	21255
382.43011	21312
382.43631	21202
382.44247	21180
382.44867	21196
382.45483	21190
382.46103	21181
382.46722	21226
382.47339	21274
382.47958	21270
382.48575	21307
382.49194	21337
382.49811	21261
382.5043	21243
382.51047	21291
382.51666	21338
382.52283	21301
382.52902	21358
382.53519	21387
382.54138	21373
382.54755	21344
382.55374	21359
382.55994	21363
382.5661	21418
382.5723	21414
382.57846	21446
382.58466	21398
382.59082	21406
382.59702	21324
382.60318	21365
382.60938	21415
382.61554	21426
382.62173	21279
382.6279	21399
382.63409	21358
382.64026	21397
382.64645	21233
382.65262	21276
382.65881	21231
382.66498	21212
382.67117	21186
382.67734	21274
382.68353	21185
382.6897	21199
382.69589	21207
382.70206	21351
382.70822	21253
382.71442	21264
382.72058	21413
382.72678	21444
382.73294	21363
382.73914	21344
382.7453	21225
382.7515	21381
382.75766	21252
382.76385	21209
382.77002	21301
382.77621	21335
382.78238	21301
382.78854	21287
382.79474	21372
382.8009	21446
382.8071	21335
382.81326	21290
382.81946	21280
382.82562	21207
382.83182	21251
382.83798	21216
382.84415	21297
382.85034	21277
382.85651	21398
382.8627	21349
382.86887	21490
382.87506	21464
382.88123	21395
382.88739	21484
382.89359	21440
382.89975	21414
382.90594	21503
382.91211	21452
382.9183	21488
382.92447	21502
382.93063	21520
382.93683	21514
382.94299	21603
382.94919	21544
382.95535	21429
382.96152	21460
382.96771	21447
382.97388	21383
382.98004	21335
382.98624	21359
382.9924	21255
382.9986	21290
383.00476	21291
383.01093	21455
383.01712	21366
383.02328	21495
383.02948	21410
383.03564	21453
383.04181	21404
383.048	21386
383.05417	21318
383.06033	21379
383.06653	21269
383.07269	21299
383.07886	21428
383.08505	21411
383.09122	21533
383.09741	21473
383.10358	21589
383.10974	21501
383.11594	21479
383.1221	21537
383.12827	21538
383.13446	21383
383.14063	21512
383.14679	21447
383.15298	21477
383.15915	21514
383.16531	21612
383.17151	21563
383.17767	21517
383.18384	21507
383.19003	21535
383.1962	21574
383.20236	21470
383.20856	21500
383.21472	21575
383.22089	21483
383.22708	21482
383.23325	21451
383.23941	21466
383.24561	21486
383.25177	21532
383.25793	21707
383.2641	21799
383.27029	21844
383.27646	21992
383.28262	21859
383.28882	21911
383.29498	21903
383.30115	21836
383.30731	21675
383.31351	21572
383.31967	21556
383.32584	21457
383.33203	21506
383.3382	21375
383.34436	21388
383.35052	21404
383.35672	21620
383.36288	21627
383.36905	21658
383.37524	21709
383.38141	21775
383.38757	21750
383.39374	21720
383.39993	21611
383.4061	21553
383.41226	21443
383.41843	21513
383.42462	21516
383.43079	21542
383.43695	21510
383.44312	21649
383.44931	21595
383.45547	21489
383.46164	21556
383.4678	21585
383.474	21625
383.48016	21593
383.48633	21633
383.49249	21602
383.49869	21558
383.50485	21470
383.51102	21479
