Date 20.07.2020 15:06:39
Wavelength / nm,Intensity / a.u.
Data
381.70029,20428.0
381.70648,20574.0
381.71268,20565.0
381.71884,20691.0
381.72504,20757.0
381.73123,20723.0
381.73743,20695.0
381.74359,20662.0
381.74979,20825.0
381.75598,20805.0
381.76218,20871.0
381.76834,20898.0
381.77454,20948.0
381.78073,20991.0
381.78693,20981.0
381.79312,21092.0
381.79929,21135.0
381.80548,21125.0
381.81168,21178.0
381.81787,21108.0
381.82404,21200.0
381.83023,21079.0
381.83643,20972.0
381.84259,21039.0
381.84879,21031.0
381.85498,21127.0
381.86118,21085.0
381.86734,21006.0
381.87354,21012.0
381.87973,21043.0
381.88593,21076.0
381.89209,21198.0
381.89828,21291.0
381.90448,21252.0
381.91068,21151.0
381.91684,21237.0
381.92303,21154.0
381.92923,21161.0
381.93539,21153.0
381.94159,21223.0
381.94778,21205.0
381.95395,21240.0
381.96014,21335.0
381.96634,21142.0
381.97253,21290.0
381.9787,21272.0
381.98489,21184.0
381.99109,21131.0
381.99725,21079.0
382.00345,21110.0
382.00964,21049.0
382.01581,20970.0
382.022,21078.0
382.0282,21031.0
382.03439,21064.0
382.04056,21016.0
382.04675,21150.0
382.05295,21112.0
382.05911,21284.0
382.06531,21255.0
382.0715,21302.0
382.07767,21223.0
382.08386,21195.0
382.09006,21186.0
382.09622,21098.0
382.10242,21147.0
382.10861,21162.0
382.11478,21056.0
382.12097,21090.0
382.12717,21079.0
382.13333,21076.0
382.13953,21077.0
382.14569,21215.0
382.15189,21202.0
382.15808,21198.0
382.16425,21206.0
382.17044,21250.0
382.17664,21105.0
382.1828,21251.0
382.189,21118.0
382.19519,21291.0
382.20135,21203.0
382.20755,21266.0
382.21371,21272.0
382.21991,21276.0
382.2261,21297.0
382.23227,21359.0
382.23846,21388.0
382.24466,21375.0
382.25082,21419.0
382.25702,21352.0
382.26318,21383.0
382.26938,21290.0
382.27557,21335.0
382.28174,21201.0
382.28793,21297.0
