Date and Time:                Wed May 6 09:03:37.717 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
Grating Groove Density (l/mm):599.735
Grating Blaze:                400
Input Flipper Port:           Direct



200	0.0267865
200.0329	49.9942
200.0658	45.2737
200.09869	38.6296
200.13159	33.8537
200.16447	31.4195
200.19737	32.6395
200.23027	39.869
200.26317	46.8519
200.29607	42.6545
200.32896	30.9885
200.36186	25.5189
200.39476	25.4084
200.42766	20.6534
200.46056	19.203
200.49345	27.4464
200.52634	35.9229
200.55923	37.218
200.59213	32.9238
200.62503	28.8331
200.65793	28.9609
200.69083	29.4489
200.72372	27.5509
200.75662	25.1383
200.78952	26.8802
200.82242	31.899
200.85532	32.9439
200.8882	28.1074
200.9211	20.6772
200.95399	19.4607
200.98689	23.6976
201.01979	25.737
201.05269	27.0579
201.08559	28.2561
201.11848	23.6708
201.15138	18.4874
201.18428	17.7357
201.21716	19.2277
201.25006	24.5591
201.28296	27.798
201.31586	25.0327
201.34875	22.5934
201.38165	22.3723
201.41455	24.3705
201.44745	27.2373
201.48035	25.833
201.51324	20.3085
201.54614	16.1193
201.57903	15.0284
201.61192	14.1994
201.64482	18.6178
201.67772	24.3262
201.71062	27.7378
201.74352	29.5982
201.77641	32.0681
201.80931	32.6923
201.84221	32.5425
201.87511	32.8714
201.908	31.8558
201.94089	28.7237
201.97379	27.5672
202.00668	28.1368
202.03958	27.8575
202.07248	32.0521
202.10538	36.4185
202.13828	34.3471
202.17117	29.0861
202.20407	25.8777
202.23697	25.318
202.26987	26.4032
202.30275	26.1711
202.33565	24.1758
202.36855	25.7127
202.40144	24.3653
202.43434	21.4833
202.46724	24.4865
202.50014	28.3824
202.53304	27.7176
202.56593	26.0051
202.59883	27.0274
202.63173	27.4515
202.66461	24.5756
202.69751	23.9307
202.73041	25.1424
202.76331	26.2018
202.7962	28.4959
202.8291	33.6436
202.862	35.4322
202.8949	31.5417
202.9278	30.6325
202.96069	33.4604
202.99359	35.3351
203.02647	35.733
203.05937	35.8863
203.09227	34.5188
203.12517	28.2318
203.15807	22.8179
203.19096	22.7878
203.22386	24.0801
203.25676	30.227
203.28966	35.6082
203.32256	34.7195
203.35544	33.7152
203.38834	34.4094
203.42123	35.0942
203.45413	37.0818
203.48703	36.1959
203.51993	31.3096
203.55283	28.7873
203.58572	26.9359
203.61862	25.6763
203.65152	27.4649
203.68442	30.2267
203.7173	34.9306
203.7502	36.3301
203.7831	30.5633
203.81599	33.3285
203.84889	41.3804
203.88179	44.518
203.91469	41.3642
203.94759	35.906
203.98048	29.9845
204.01338	28.1467
204.04628	29.8066
204.07916	35.2954
204.11206	41.2595
204.14496	42.4941
204.17786	38.4099
204.21075	36.0183
204.24365	36.9557
204.27655	37.5655
204.30945	37.4273
204.34235	35.3338
204.37524	36.9573
204.40814	43.5354
204.44102	48.0953
204.47392	45.378
204.50682	38.991
204.53972	36.6562
204.57262	43.1035
204.60551	50.5349
204.63841	50.6157
204.67131	49.1397
204.70421	53.7538
204.73711	57.4542
204.77	54.7335
204.80289	50.8269
204.83578	48.9077
204.86868	49.7979
204.90158	49.3775
204.93448	50.6162
204.96738	53.7032
205.00027	55.825
205.03317	57.9121
205.06607	59.9062
205.09897	58.795
205.13187	57.0805
205.16475	54.9944
205.19765	51.8214
205.23055	51.8798
205.26344	51.2092
205.29634	46.8653
205.32924	43.8549
205.36214	44.2737
205.39503	46.7032
205.42793	43.908
205.46083	40.8192
205.49371	42.6351
205.52661	46.3898
205.55951	47.598
205.59241	44.0332
205.62531	38.9162
205.6582	33.0683
205.6911	28.6006
205.724	29.7476
205.7569	32.0946
205.78979	35.2819
205.82269	35.4525
205.85558	32.0924
205.88847	30.7876
205.92137	31.8455
205.95427	28.8797
205.98717	24.0462
206.02007	22.395
206.05296	18.1145
206.08586	16.5687
206.11876	21.1039
206.15166	25.0344
206.18456	28.0028
206.21744	26.902
206.25034	19.8278
206.28323	16.0734
206.31613	19.5188
206.34903	23.5179
206.38193	22.7086
206.41483	20.6936
206.44772	25.2042
206.48062	29.8454
206.51352	25.105
206.54642	17.6613
206.5793	12.8624
206.6122	10.7785
206.6451	11.1815
206.67799	14.2962
206.71089	15.819
206.74379	14.1951
206.77669	14.9542
206.80959	16.6389
206.84248	15.3052
206.87538	16.7096
206.90828	23.0591
206.94116	22.387
206.97406	15.2613
207.00696	15.4987
207.03986	22.7941
207.07275	26.8756
207.10565	23.772
207.13855	12.867
207.17145	6.23782
207.20435	10.101
207.23724	15.1672
207.27014	17.8013
207.30302	20.1035
207.33592	21.0344
207.36882	20.1269
207.40172	17.4748
207.43462	14.6378
207.46751	12.6698
207.50041	10.5818
207.53331	12.4285
207.56621	17.3729
207.59911	21.9034
207.63199	23.3724
207.66489	19.1061
207.69778	17.0685
207.73068	18.9911
207.76358	21.6989
207.79648	23.1223
207.82938	19.7449
207.86227	15.6198
207.89517	15.4286
207.92807	18.1377
