Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
Grating Groove Density (l/mm):2400.34
Grating Blaze:                300
Input Flipper Port:           Side
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



381.6658	264
381.67203	313
381.67825	343
381.68445	281
381.69067	310
381.6969	327
381.70313	311
381.70932	325
381.71555	298
381.72177	281
381.728	331
381.73419	304
381.74042	323
381.74664	273
381.75284	291
381.75906	271
381.76529	276
381.77151	333
381.77771	313
381.78394	335
381.79016	301
381.79636	311
381.80258	344
381.80881	289
381.815	361
381.82123	334
381.82745	303
381.83368	330
381.83987	339
381.8461	287
381.85233	315
381.85852	348
381.86475	333
381.87097	328
381.87717	310
381.88339	239
381.88962	332
381.89581	320
381.90204	317
381.90826	368
381.91446	274
381.92068	295
381.92691	312
381.93311	301
381.93933	326
381.94556	325
381.95175	287
381.95798	333
381.9642	322
381.9704	318
381.97662	329
381.98285	299
381.98904	327
381.99527	344
382.0015	312
382.00769	309
382.01392	331
382.02014	323
382.02634	340
382.03256	365
382.03879	312
382.04498	324
382.05121	313
382.05743	316
382.06363	349
382.06985	318
382.07605	356
382.08228	318
382.0885	293
382.0947	306
382.10092	264
382.10715	344
382.11334	291
382.11957	326
382.12576	327
382.13199	317
382.13821	336
382.14441	326
382.15063	334
382.15686	325
382.16306	321
382.16928	308
382.17548	316
382.1817	363
382.18793	252
382.19412	306
382.20035	326
382.20654	270
382.21277	359
382.21899	361
382.22519	307
382.23141	313
382.23761	292
382.24384	344
382.25006	336
382.25626	337
382.26248	332
382.26868	337
382.2749	296
382.2811	325
382.28732	302
382.29355	341
382.29974	315
382.30597	327
382.31216	325
382.31839	326
382.32458	315
382.33081	329
382.33704	310
382.34323	308
382.34946	354
382.35565	287
382.36188	302
382.36807	314
382.3743	308
382.38049	284
382.38672	342
382.39294	283
382.39914	307
382.40536	322
382.41156	334
382.41779	330
382.42398	294
382.43021	346
382.4364	322
382.44263	355
382.44882	267
382.45505	328
382.46127	311
382.46747	346
382.47369	309
382.47989	326
382.48611	342
382.49231	269
382.49854	326
382.50473	345
382.51096	336
382.51715	332
382.52338	333
382.52957	335
382.5358	313
382.54199	311
382.54822	353
382.55441	298
382.56064	327
382.56683	333
382.57306	344
382.57925	325
382.58548	322
382.59167	328
382.5979	300
382.6041	331
382.61032	319
382.61652	335
382.62274	283
382.62894	302
382.63516	276
382.64136	303
382.64758	330
382.65378	322
382.66	333
382.6662	330
382.67242	325
382.67862	361
382.68484	310
382.69104	353
382.69727	331
382.70346	309
382.70969	343
382.71588	333
382.72211	357
382.7283	318
382.7345	363
382.74072	349
382.74692	341
382.75314	339
382.75934	320
382.76556	330
382.77176	289
382.77798	325
382.78418	336
382.79041	320
382.7966	309
382.8028	344
382.80902	299
382.81522	329
382.82144	313
382.82764	324
382.83386	355
382.84006	341
382.84628	342
382.85248	338
382.85867	364
382.8649	304
382.87109	307
382.87732	308
382.88351	321
382.88971	323
382.89594	313
382.90213	328
382.90836	345
382.91455	328
382.92078	311
382.92697	309
382.93317	319
382.93939	317
382.94559	339
382.95181	373
382.95801	302
382.9642	331
382.97043	295
382.97662	298
382.98285	321
382.98904	329
382.99524	351
383.00146	329
383.00766	375
383.01389	326
383.02008	308
383.02628	352
383.0325	365
383.0387	343
383.04492	290
383.05112	318
383.05731	333
383.06354	317
383.06973	333
383.07593	325
383.08215	342
383.08835	303
383.09457	320
383.10077	387
383.10696	314
383.11319	328
383.11938	360
383.12558	313
383.13181	384
383.138	342
383.1442	350
383.15042	288
383.15662	351
383.16281	324
383.16904	366
383.17523	317
383.18146	326
383.18765	352
383.19385	320
383.20007	335
383.20627	312
383.21246	249
383.21869	318
383.22488	323
383.23108	325
383.2373	328
383.2435	372
383.24969	329
383.25592	316
383.26212	306
383.26831	323
383.27454	337
383.28073	324
383.28693	348
383.29312	322
383.29935	385
383.30554	297
383.31174	358
383.31796	331
383.32416	340
383.33035	335
383.33658	361
383.34277	381
383.34897	343
383.35519	348
383.36139	365
383.36758	350
383.37378	357
383.38	329
383.3862	298
383.3924	347
383.39862	341
383.40482	373
383.41101	331
383.41721	399
383.42343	348
383.42963	369
383.43582	402
383.44205	486
383.44824	433
383.45444	386
383.46063	373
383.46686	356
383.47305	341
383.47925	348
383.48544	328
383.49167	384
383.49786	373
383.50406	378
383.51028	321
383.51648	348
383.52267	313
383.52887	361
383.5351	383
383.54129	377
383.54749	327
383.55368	322
383.55991	335
383.5661	330
383.5723	331
383.57849	334
383.58472	345
383.59091	357
383.59711	347
383.6033	355
383.6095	336
383.61572	347
383.62192	343
383.62811	358
383.63431	339
383.64053	333
383.64673	333
383.65292	311
383.65912	333
383.66534	331
383.67154	363
383.67773	400
383.68393	347
383.69012	353
383.69635	354
383.70255	314
383.70874	321
383.71494	311
383.72113	352
383.72736	357
383.73355	358
383.73975	369
