Date and Time:                Wed Oct 9 16:50:28.663 2019
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.67854
Accumulate Cycle Time (secs): 0.67854
Frequency (Hz):               1.4738
Number of Accumulations:      60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              433
Grating Groove Density (l/mm):2400.34
Grating Blaze:                300
Input Flipper Port:           Side
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



426.94812	49643
426.95407	50158
426.96002	50259
426.96597	50140
426.97189	50034
426.97784	50201
426.9838	50188
426.98975	50274
426.9957	50232
427.00165	50242
427.00757	50207
427.01352	50076
427.01947	50054
427.02542	50104
427.03137	50209
427.03729	50275
427.04324	50382
427.04919	50452
427.05515	50492
427.0611	50506
427.06702	50369
427.07297	50263
427.07892	50130
427.08487	50115
427.09079	50122
427.09674	50106
427.10269	50128
427.10864	50193
427.11459	50214
427.12051	50115
427.12646	50106
427.13242	50198
427.13837	50235
427.14429	50295
427.15024	50336
427.15619	50256
427.16214	50272
427.16806	50253
427.17401	50210
427.17996	50141
427.18591	50235
427.19186	50154
427.19778	50210
427.20374	50211
427.20969	50272
427.21564	50303
427.22156	50152
427.22751	50016
427.23346	50071
427.23938	50231
427.24533	50224
427.25128	50254
427.25723	50206
427.26315	50162
427.2691	50223
427.27505	50444
427.28101	50477
427.28693	50581
427.29288	50506
427.29883	50425
427.30475	50473
427.3107	50525
427.31665	50748
427.3226	50737
427.32852	50719
427.33447	50698
427.34042	50536
427.34634	50462
427.35229	50498
427.35825	50614
427.3642	50399
427.37012	50356
427.37607	50171
427.38202	50289
427.38794	50208
427.39389	50268
427.39984	50389
427.40576	50436
427.41171	50395
427.41766	50252
427.42358	50270
427.42953	50303
427.43549	50325
427.44141	50196
427.44736	50295
427.45331	50439
427.45923	50310
427.46518	50463
427.47113	50551
427.47705	50525
427.483	50462
427.48895	50465
427.49487	50504
427.50082	50522
427.50677	50413
427.5127	50369
427.51865	50384
427.5246	50375
427.53052	50336
427.53647	50414
427.54242	50335
427.54834	50480
427.55429	50646
427.56024	51002
427.56616	51617
427.57211	52000
427.57803	51965
427.58398	51470
427.58994	50917
427.59586	50399
427.60181	50489
427.60776	50334
427.61368	50248
427.61963	50349
427.62555	50352
427.6315	50331
427.63745	50435
427.64337	50334
427.64932	50366
427.65524	50281
427.66119	50250
427.66714	50374
427.67307	50393
427.67902	50565
427.68494	50681
427.69089	50604
427.69684	50686
427.70276	50471
427.70871	50499
427.71463	50354
427.72058	50400
427.72653	50364
427.73245	50338
427.7384	50227
427.74432	50231
427.75027	50410
427.7562	50392
427.76215	50337
427.7681	50441
427.77402	50357
427.77997	50244
427.78589	50474
427.79184	50413
427.79776	50372
427.80371	50461
427.80966	50341
427.81558	50492
427.82153	50433
427.82745	50465
427.8334	50397
427.83932	50483
427.84528	50454
427.8512	50526
427.85715	50493
427.8631	50628
427.86902	50583
427.87497	50832
427.88089	51217
427.88684	51207
427.89276	51230
427.89871	51157
427.90463	50995
427.91058	51077
427.9165	50846
427.92245	50713
427.92838	50647
427.93433	50716
427.94025	50905
427.9462	51110
427.95212	51166
427.95807	51262
427.96399	51164
427.96994	51113
427.97586	50799
427.98181	50676
427.98773	50753
427.99368	50664
427.9996	50880
428.00555	50975
428.01147	51280
428.01743	51294
428.02335	51184
428.0293	51016
428.03522	50777
428.04117	50891
428.04709	50721
428.05304	50643
428.05896	50652
428.06491	50483
428.07083	50461
428.07678	50459
428.0827	50580
428.08865	50456
428.09457	50717
428.10052	50907
428.10645	51466
428.1124	52299
428.11832	52886
428.12427	52977
428.13019	52711
428.13611	51799
428.14206	51166
428.14798	50944
428.15393	50838
428.15985	50644
428.1658	50524
428.17172	50601
428.17767	50592
428.18359	50580
428.18951	50702
428.19547	50888
428.20139	51050
428.20734	51101
428.21326	51276
428.21921	51367
428.22513	51220
428.23105	50861
428.237	50806
428.24292	50923
428.24887	50818
428.25479	50753
428.26074	50659
428.26666	51014
428.27258	51028
428.27853	51231
428.28445	51158
428.29041	51019
428.29633	50884
428.30225	50566
428.3082	50662
428.31412	50668
428.32007	50636
428.32599	50759
428.33191	50980
428.33786	51015
428.34378	51236
428.34973	51369
428.35565	51217
428.36157	51104
428.36752	50949
428.37344	50789
428.37939	50640
428.38531	50765
428.39124	50681
428.39719	50718
428.40311	50752
428.40903	50716
428.41498	50636
428.4209	50724
428.42682	50725
428.43277	50879
428.43869	50771
428.44464	50946
428.45056	50816
428.45648	50872
428.46243	50702
428.46835	50903
428.47427	51082
428.48022	51231
428.48615	51494
428.49207	51485
428.49802	51412
428.50394	51348
428.50986	51002
428.51581	50957
428.52173	51172
428.52765	51121
428.5336	51360
428.53952	51467
428.54544	51461
428.55139	51717
428.55731	51509
428.56323	51378
428.56918	51128
428.5751	51109
428.58102	51135
428.58698	51158
428.5929	51096
428.59882	51140
428.60474	50956
428.61069	50778
428.61661	50892
428.62253	50698
428.62848	50976
428.6344	50771
428.64032	50822
428.64627	50831
428.65219	50942
428.65811	50779
428.66403	50810
428.66998	50798
428.6759	50739
