Date and Time:                Tue Feb 25 12:23:21.354 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Expos6ure Time (secs):         5
Accumulate Cycle Time (secs): 5
Frequency (Hz):               0.2
Number of Accumulations:      10
10Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
15Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
20Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
25Serial Number:                SR-3044
Wavelength (nm):              433
Grating Groove Density (l/mm):2400.34
Grating Blaze:                300
Input Flipper Port:           Side
30Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



426.94812	16110
426.95407	15554
426.96002	14988
426.96597	14949
426.97189	15269
426.97784	15365
426.9838	15092
426.98975	14601
426.9957	14320
427.00165	14208
427.00757	14185
427.01352	14147
427.01947	14127
427.02542	14169
427.03137	14174
427.03729	14150
427.04324	14080
427.04919	14183
427.05515	14305
427.0611	14356
427.06702	14493
427.07297	14587
427.07892	14590
427.08487	14720
427.09079	14751
427.09674	14762
427.10269	14655
427.10864	14446
427.11459	14277
427.12051	14261
427.12646	14291
427.13242	14408
427.13837	14425
427.14429	14544
427.15024	14543
427.15619	14336
427.16214	14309
427.16806	14269
427.17401	14219
427.17996	14160
427.18591	14234
427.19186	14213
427.19778	14277
427.20374	14239
427.20969	14229
427.21564	14187
427.22156	14312
427.22751	14307
427.23346	14372
427.23938	14311
427.24533	14280
427.25128	14363
427.25723	14126
427.26315	14162
427.2691	14263
427.27505	14482
427.28101	14751
427.28693	15295
427.29288	16494
427.29883	18033
427.30475	19452
427.3107	19729
427.31665	18595
427.3226	17609
427.32852	18190
427.33447	20097
427.34042	22282
427.34634	23115
427.35229	22557
427.35825	20768
427.3642	19390
427.37012	19398
427.37607	20079
427.38202	20003
427.38794	18503
427.39389	16377
427.39984	14967
427.40576	14373
427.41171	14344
427.41766	14292
427.42358	14421
427.42953	14396
427.43549	14535
427.44141	14762
427.44736	15194
427.45331	15511
427.45923	15433
427.46518	15414
427.47113	15248
427.47705	15491
427.483	16170
427.48895	16928
427.49487	17440
427.50082	17183
427.50677	16889
427.5127	16372
427.51865	16143
427.5246	16103
427.53052	15752
427.53647	15315
427.54242	14762
427.54834	14521
427.55429	14379
427.56024	14501
427.56616	14594
427.57211	14756
427.57803	14888
427.58398	15267
427.58994	15500
427.59586	15819
427.60181	15599
427.60776	15280
427.61368	14797
427.61963	14548
427.62555	14391
427.6315	14261
427.63745	14249
427.64337	14286
427.64932	14429
427.65524	14540
427.66119	14676
427.66714	14671
427.67307	14600
427.67902	14604
427.68494	14525
427.69089	14718
427.69684	14751
427.70276	15115
427.70871	15424
427.71463	15598
427.72058	15278
427.72653	14885
427.73245	14568
427.7384	14474
427.74432	14248
427.75027	14317
427.7562	14424
427.76215	14404
427.7681	14302
427.77402	14338
427.77997	14292
427.78589	14280
427.79184	14308
427.79776	14399
427.80371	14334
427.80966	14403
427.81558	14371
427.82153	14485
427.82745	14507
427.8334	14527
427.83932	14701
427.84528	14805
427.8512	14979
427.85715	14856
427.8631	14912
427.86902	15053
427.87497	14889
427.88089	14861
427.88684	14973
427.89276	15636
427.89871	17225
427.90463	19118
427.91058	20303
427.9165	20709
427.92245	20838
427.92838	21484
427.93433	21523
427.94025	20433
427.9462	18887
427.95212	18569
427.95807	20173
427.96399	21718
427.96994	22674
427.97586	22685
427.98181	22489
427.98773	21414
427.99368	19931
427.9996	18208
428.00555	16927
428.01147	16497
428.01743	16373
428.02335	16496
428.0293	16569
428.03522	16684
428.04117	16613
428.04709	16974
428.05304	17163
428.05896	17292
428.06491	17100
428.07083	16752
428.07678	16149
428.0827	15458
428.08865	14955
428.09457	14646
428.10052	14637
428.10645	14671
428.1124	14676
428.11832	14658
428.12427	14800
428.13019	15232
428.13611	15756
428.14206	16423
428.14798	17003
428.15393	17438
428.15985	17179
428.1658	16520
428.17172	15671
428.17767	15002
428.18359	14677
428.18951	14449
428.19547	14455
428.20139	14399
428.20734	14446
428.21326	14618
428.21921	14658
428.22513	14909
428.23105	15296
428.237	15556
428.24292	15845
428.24887	15793
428.25479	15652
428.26074	15511
428.26666	15268
428.27258	15074
428.27853	14706
428.28445	14699
428.29041	14781
428.29633	14824
428.30225	14930
428.3082	14892
428.31412	14745
428.32007	14752
428.32599	14714
428.33191	14520
428.33786	14559
428.34378	14590
428.34973	14702
428.35565	14744
428.36157	14977
428.36752	15392
428.37344	15931
428.37939	16825
428.38531	17375
428.39124	17162
428.39719	16382
428.40311	15462
428.40903	14958
428.41498	14793
428.4209	14891
428.42682	14989
428.43277	15242
428.43869	15616
428.44464	15949
428.45056	16288
428.45648	16452
428.46243	16591
428.46835	16448
428.47427	16089
428.48022	15884
428.48615	16396
428.49207	18026
428.49802	20034
428.50394	21799
428.50986	22627
428.51581	22037
428.52173	20412
428.52765	18491
428.5336	17107
428.53952	16598
428.54544	16980
428.55139	17814
428.55731	19183
428.56323	21312
428.56918	23688
428.5751	25133
428.58102	24962
428.58698	23091
428.5929	20490
428.59882	19190
428.60474	19229
428.61069	20229
428.61661	20571
428.62253	19686
428.62848	17856
428.6344	16221
428.64032	15766
428.64627	15931
428.65219	16407
428.65811	16765
428.66403	16836
428.66998	16492
428.6759	15873
