Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
426.95407,15554.0
426.96002,14988.0
426.96597,14949.0
426.97189,15269.0
426.97784,15365.0
426.9838,15092.0
426.98975,14601.0
426.9957,14320.0
427.00165,14208.0
427.00757,14185.0
427.01352,14147.0
427.01947,14127.0
427.02542,14169.0
427.03137,14174.0
427.03729,14150.0
427.04324,14080.0
427.04919,14183.0
427.05515,14305.0
427.0611,14356.0
427.06702,14493.0
427.07297,14587.0
427.07892,14590.0
427.08487,14720.0
427.09079,14751.0
427.09674,14762.0
427.10269,14655.0
427.10864,14446.0
427.11459,14277.0
427.12051,14261.0
427.12646,14291.0
427.13242,14408.0
427.13837,14425.0
427.14429,14544.0
427.15024,14543.0
427.15619,14336.0
427.16214,14309.0
427.16806,14269.0
427.17401,14219.0
427.17996,14160.0
427.18591,14234.0
427.19186,14213.0
427.19778,14277.0
427.20374,14239.0
427.20969,14229.0
427.21564,14187.0
427.22156,14312.0
427.22751,14307.0
427.23346,14372.0
427.23938,14311.0
427.24533,14280.0
427.25128,14363.0
427.25723,14126.0
427.26315,14162.0
427.2691,14263.0
427.27505,14482.0
427.28101,14751.0
427.28693,15295.0
427.29288,16494.0
427.29883,18033.0
427.30475,19452.0
427.3107,19729.0
427.31665,18595.0
427.3226,17609.0
427.32852,18190.0
427.33447,20097.0
427.34042,22282.0
427.34634,23115.0
427.35229,22557.0
427.35825,20768.0
427.3642,19390.0
427.37012,19398.0
427.37607,20079.0
427.38202,20003.0
427.38794,18503.0
427.39389,16377.0
427.39984,14967.0
427.40576,14373.0
427.41171,14344.0
427.41766,14292.0
427.42358,14421.0
427.42953,14396.0
427.43549,14535.0
427.44141,14762.0
427.44736,15194.0
427.45331,15511.0
427.45923,15433.0
427.46518,15414.0
427.47113,15248.0
427.47705,15491.0
427.483,16170.0
427.48895,16928.0
427.49487,17440.0
427.50082,17183.0
427.50677,16889.0
427.5127,16372.0
427.51865,16143.0
427.5246,16103.0
427.53052,15752.0
427.53647,15315.0
427.54242,14762.0
427.54834,14521.0
427.55429,14379.0
427.56024,14501.0
427.56616,14594.0
427.57211,14756.0
427.57803,14888.0
427.58398,15267.0
427.58994,15500.0
427.59586,15819.0
427.60181,15599.0
427.60776,15280.0
427.61368,14797.0
427.61963,14548.0
427.62555,14391.0
427.6315,14261.0
427.63745,14249.0
427.64337,14286.0
427.64932,14429.0
427.65524,14540.0
427.66119,14676.0
427.66714,14671.0
427.67307,14600.0
427.67902,14604.0
427.68494,14525.0
427.69089,14718.0
427.69684,14751.0
427.70276,15115.0
427.70871,15424.0
427.71463,15598.0
427.72058,15278.0
427.72653,14885.0
427.73245,14568.0
427.7384,14474.0
427.74432,14248.0
427.75027,14317.0
427.7562,14424.0
427.76215,14404.0
427.7681,14302.0
427.77402,14338.0
427.77997,14292.0
427.78589,14280.0
427.79184,14308.0
427.79776,14399.0
427.80371,14334.0
427.80966,14403.0
427.81558,14371.0
427.82153,14485.0
427.82745,14507.0
427.8334,14527.0
427.83932,14701.0
427.84528,14805.0
427.8512,14979.0
427.85715,14856.0
427.8631,14912.0
427.86902,15053.0
427.87497,14889.0
427.88089,14861.0
427.88684,14973.0
427.89276,15636.0
427.89871,17225.0
427.90463,19118.0
427.91058,20303.0
427.9165,20709.0
427.92245,20838.0
427.92838,21484.0
427.93433,21523.0
427.94025,20433.0
427.9462,18887.0
427.95212,18569.0
427.95807,20173.0
427.96399,21718.0
427.96994,22674.0
427.97586,22685.0
427.98181,22489.0
427.98773,21414.0
427.99368,19931.0
427.9996,18208.0
428.00555,16927.0
428.01147,16497.0
428.01743,16373.0
428.02335,16496.0
428.0293,16569.0
428.03522,16684.0
428.04117,16613.0
428.04709,16974.0
428.05304,17163.0
428.05896,17292.0
428.06491,17100.0
428.07083,16752.0
428.07678,16149.0
428.0827,15458.0
428.08865,14955.0
428.09457,14646.0
428.10052,14637.0
428.10645,14671.0
428.1124,14676.0
428.11832,14658.0
428.12427,14800.0
428.13019,15232.0
428.13611,15756.0
428.14206,16423.0
428.14798,17003.0
428.15393,17438.0
428.15985,17179.0
428.1658,16520.0
428.17172,15671.0
428.17767,15002.0
428.18359,14677.0
428.18951,14449.0
428.19547,14455.0
428.20139,14399.0
428.20734,14446.0
428.21326,14618.0
428.21921,14658.0
428.22513,14909.0
