Date and Time:                Mon Sep 21 13:00:12.070 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              433
Grating Groove Density (l/mm):2400.34
Grating Blaze:                300
Input Flipper Port:           Side
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



426.94812	1059
426.95407	1028
426.96002	1005
426.96597	1042
426.97189	1058
426.97784	1016
426.9838	950
426.98975	915
426.9957	889
427.00165	880
427.00757	870
427.01352	899
427.01947	905
427.02542	872
427.03137	891
427.03729	916
427.04324	931
427.04919	982
427.05515	1045
427.0611	1088
427.06702	1124
427.07297	1137
427.07892	1161
427.08487	1106
427.09079	1168
427.09674	1452
427.10269	1659
427.10864	1730
427.11459	1601
427.12051	1290
427.12646	1027
427.13242	1012
427.13837	946
427.14429	964
427.15024	925
427.15619	913
427.16214	910
427.16806	912
427.17401	903
427.17996	911
427.18591	942
427.19186	912
427.19778	894
427.20374	920
427.20969	906
427.21564	894
427.22156	925
427.22751	870
427.23346	935
427.23938	872
427.24533	887
427.25128	902
427.25723	911
427.26315	904
427.2691	950
427.27505	989
427.28101	1107
427.28693	1263
427.29288	1524
427.29883	1665
427.30475	1719
427.3107	1614
427.31665	1456
427.3226	1580
427.32852	1853
427.33447	2096
427.34042	2242
427.34634	2148
427.35229	1975
427.35825	1722
427.3642	1702
427.37012	1774
427.37607	1767
427.38202	1521
427.38794	1195
427.39389	974
427.39984	912
427.40576	890
427.41171	910
427.41766	905
427.42358	934
427.42953	927
427.43549	1011
427.44141	1080
427.44736	1188
427.45331	1270
427.45923	1268
427.46518	1282
427.47113	1259
427.47705	1342
427.483	1543
427.48895	1796
427.49487	2067
427.50082	2074
427.50677	1965
427.5127	1658
427.51865	1295
427.5246	1107
427.53052	1025
427.53647	961
427.54242	919
427.54834	906
427.55429	892
427.56024	941
427.56616	933
427.57211	973
427.57803	945
427.58398	987
427.58994	1010
427.59586	965
427.60181	961
427.60776	953
427.61368	918
427.61963	908
427.62555	929
427.6315	860
427.63745	906
427.64337	922
427.64932	919
427.65524	885
427.66119	905
427.66714	923
427.67307	942
427.67902	921
427.68494	941
427.69089	944
427.69684	988
427.70276	1022
427.70871	1028
427.71463	1001
427.72058	961
427.72653	952
427.73245	903
427.7384	907
427.74432	988
427.75027	946
427.7562	930
427.76215	920
427.7681	894
427.77402	918
427.77997	902
427.78589	919
427.79184	919
427.79776	906
427.80371	903
427.80966	965
427.81558	953
427.82153	942
427.82745	942
427.8334	980
427.83932	953
427.84528	988
427.8512	1015
427.85715	1067
427.8631	1122
427.86902	1215
427.87497	1257
427.88089	1307
427.88684	1446
427.89276	1837
427.89871	2295
427.90463	2792
427.91058	2893
427.9165	2643
427.92245	2260
427.92838	2018
427.93433	1770
427.94025	1602
427.9462	1547
427.95212	1725
427.95807	2009
427.96399	2181
427.96994	2206
427.97586	2062
427.98181	1926
427.98773	1735
427.99368	1463
427.9996	1236
428.00555	1168
428.01147	1170
428.01743	1142
428.02335	1127
428.0293	1126
428.03522	1173
428.04117	1184
428.04709	1233
428.05304	1216
428.05896	1226
428.06491	1150
428.07083	1126
428.07678	1046
428.0827	996
428.08865	982
428.09457	925
428.10052	922
428.10645	940
428.1124	947
428.11832	939
428.12427	958
428.13019	967
428.13611	1026
428.14206	1081
428.14798	1124
428.15393	1124
428.15985	1116
428.1658	1057
428.17172	973
428.17767	920
428.18359	895
428.18951	929
428.19547	904
428.20139	941
428.20734	954
428.21326	921
428.21921	936
428.22513	1004
428.23105	1022
428.237	1015
428.24292	1066
428.24887	1065
428.25479	996
428.26074	998
428.26666	982
428.27258	991
428.27853	1034
428.28445	1091
428.29041	1154
428.29633	1237
428.30225	1283
428.3082	1364
428.31412	1574
428.32007	1856
428.32599	2001
428.33191	1858
428.33786	1490
428.34378	1193
428.34973	1020
428.35565	983
428.36157	1017
428.36752	1035
428.37344	1118
428.37939	1168
428.38531	1208
428.39124	1134
428.39719	1028
428.40311	966
428.40903	981
428.41498	990
428.4209	1024
428.42682	1022
428.43277	1044
428.43869	1060
428.44464	1086
428.45056	1135
428.45648	1126
428.46243	1108
428.46835	1090
428.47427	1113
428.48022	1219
428.48615	1513
428.49207	1734
428.49802	1974
428.50394	2099
428.50986	2026
428.51581	1768
428.52173	1509
428.52765	1307
428.5336	1178
428.53952	1249
428.54544	1421
428.55139	1614
428.55731	1974
428.56323	2298
428.56918	2512
428.5751	2429
428.58102	2227
428.58698	1831
428.5929	1609
428.59882	1535
428.60474	1577
428.61069	1669
428.61661	1535
428.62253	1315
428.62848	1166
428.6344	1059
428.64032	1074
428.64627	1130
428.65219	1147
428.65811	1136
428.66403	1140
428.66998	1065
428.6759	1032
428.68182	971
428.68777	961
428.6937	989
428.69962	1009
428.70554	1090
428.71149	1183
428.71741	1285
428.72333	1291
428.72925	1348
428.7352	1427
428.74112	1629
428.74704	1887
428.75299	2064
428.75891	2040
428.76483	1661
428.77075	1210
