Date and Time:                Thu Oct 8 14:41:49.194 2020
Software Version:             4.30.30034.0
Temperature (C):              -70
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                13925
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-1306
Wavelength (nm):              388
Grating Groove Density (l/mm):2401.21
Grating Blaze:                300
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



381.70029	16048
381.70648	16652
381.71268	17104
381.71884	17352
381.72504	17599
381.73123	17484
381.73743	17281
381.74359	17009
381.74979	17027
381.75598	17152
381.76218	17176
381.76834	17329
381.77454	17324
381.78073	17432
381.78693	17559
381.79312	17720
381.79929	17865
381.80548	18105
381.81168	18312
381.81787	18200
381.82404	18122
381.83023	17726
381.83643	17742
381.84259	17585
381.84879	17609
381.85498	17465
381.86118	17686
381.86734	17624
381.87354	17779
381.87973	17726
381.88593	17801
381.89209	17806
381.89828	18214
381.90448	18473
381.91068	18570
381.91684	18573
381.92303	18276
381.92923	18006
381.93539	17947
381.94159	17822
381.94778	18014
381.95395	18274
381.96014	18657
381.96634	18584
381.97253	18547
381.9787	18265
381.98489	18161
381.99109	17997
381.99725	17776
382.00345	17878
382.00964	17737
382.01581	17638
382.022	17638
382.0282	17605
382.03439	17678
382.04056	17633
382.04675	17637
382.05295	17766
382.05911	18017
382.06531	18298
382.0715	18686
382.07767	18804
382.08386	18666
382.09006	18414
382.09622	17914
382.10242	17883
382.10861	17794
382.11478	17906
382.12097	17864
382.12717	17847
382.13333	17905
382.13953	17973
382.14569	18147
382.15189	18114
382.15808	18345
382.16425	18216
382.17044	18160
382.17664	17954
382.1828	17954
382.189	17800
382.19519	18054
382.20135	18111
382.20755	18112
382.21371	18346
382.21991	18234
382.2261	18189
382.23227	18187
382.23846	18316
382.24466	18558
382.25082	18773
382.25702	18903
382.26318	18758
382.26938	18674
382.27557	18239
382.28174	18187
382.28793	18136
382.2941	18163
382.30029	18501
382.30649	18458
382.31265	18451
382.31885	18179
382.32501	18201
382.33121	17955
382.3374	17972
382.34357	17963
382.34976	18071
382.35593	18098
382.36212	17981
382.36832	17989
382.37448	17815
382.38068	17997
382.38684	18070
382.39304	18167
382.3992	18497
382.4054	18740
382.41159	19047
382.41776	19059
382.42395	18899
382.43011	18439
382.43631	18391
382.44247	18085
382.44867	18149
382.45483	18081
382.46103	17926
382.46722	18139
382.47339	18163
382.47958	18415
382.48575	18637
382.49194	18653
382.49811	18670
382.5043	18468
382.51047	18356
382.51666	18137
382.52283	18335
382.52902	18421
382.53519	18214
382.54138	18409
382.54755	18372
382.55374	18534
382.55994	18472
382.5661	18586
382.5723	19146
382.57846	19368
382.58466	19360
382.59082	19126
382.59702	18851
382.60318	18675
382.60938	18550
382.61554	18495
382.62173	18592
382.6279	18715
382.63409	18674
382.64026	18576
382.64645	18276
382.65262	18169
382.65881	17977
382.66498	17923
382.67117	18155
382.67734	18092
382.68353	17913
382.6897	17919
382.69589	18155
382.70206	18217
382.70822	18261
382.71442	18587
382.72058	18926
382.72678	19126
382.73294	19065
382.73914	19056
382.7453	18766
382.7515	18369
382.75766	18114
382.76385	18216
382.77002	18035
382.77621	18115
382.78238	18330
382.78854	18349
382.79474	18515
382.8009	18665
382.8071	18773
382.81326	18605
382.81946	18597
382.82562	18257
382.83182	18232
382.83798	18097
382.84415	18340
382.85034	18380
382.85651	18624
382.8627	18570
382.86887	18607
382.87506	18976
382.88123	18970
382.88739	19208
382.89359	19133
382.89975	18907
382.90594	18587
382.91211	18435
382.9183	18414
382.92447	18560
382.93063	18819
382.93683	19142
382.94299	19129
382.94919	19075
382.95535	18876
382.96152	18730
382.96771	18652
382.97388	18493
382.98004	18297
382.98624	18362
382.9924	18539
382.9986	18597
383.00476	18490
383.01093	18494
383.01712	18721
383.02328	19042
383.02948	19158
383.03564	19084
383.04181	18875
383.048	18769
383.05417	18446
383.06033	18348
383.06653	18231
383.07269	18375
383.07886	18385
383.08505	18572
383.09122	18686
383.09741	19049
383.10358	19140
383.10974	19132
383.11594	18868
383.1221	18719
383.12827	18597
383.13446	18656
383.14063	18581
383.14679	18755
383.15298	18673
383.15915	18766
383.16531	18792
383.17151	19012
383.17767	19161
383.18384	19177
383.19003	19168
383.1962	18635
383.20236	18517
383.20856	18659
383.21472	18892
383.22089	19005
383.22708	19117
383.23325	19166
383.23941	18874
383.24561	18488
383.25177	18497
383.25793	18589
383.2641	18672
383.27029	19206
383.27646	19668
383.28262	19874
383.28882	19993
383.29498	19713
383.30115	19370
383.30731	19416
383.31351	19348
383.31967	19305
383.32584	19092
383.33203	18774
383.3382	18681
383.34436	18478
383.35052	18525
383.35672	18309
383.36288	18446
383.36905	18851
383.37524	19231
383.38141	19607
383.38757	19669
383.39374	19502
383.39993	19009
383.4061	19008
383.41226	18794
383.41843	18769
383.42462	18614
383.43079	18691
383.43695	18874
383.44312	19068
383.44931	19292
383.45547	19246
383.46164	19065
383.4678	18843
383.474	18627
383.48016	18719
383.48633	19024
383.49249	19198
383.49869	19298
383.50485	19090
383.51102	18808
383.51718	18571
383.52335	18327
383.52954	18450
383.53571	18626
383.54187	18844
383.54803	19154
383.5542	19702
383.56039	20454
383.56656	21046
383.57272	21573
383.57889	21635
383.58508	21292
383.59125	20472
383.59741	19742
383.60358	19190
383.60974	18969
383.61594	18789
383.6221	19106
383.62827	19329
383.63443	19471
383.64059	19358
383.64676	19384
383.65295	19017
383.65912	18672
383.66528	18854
383.67145	18755
383.67761	19246
383.68381	19356
383.68997	19798
383.69614	19765
383.7023	19800
383.70847	19469
383.71463	19125
383.72079	18984
383.72699	18781
383.73315	18969
383.73932	19202
383.74548	19421
383.75165	19292
383.75781	19101
383.76401	18682
383.77017	18534
383.77634	18604
383.7825	18733
383.78867	19024
383.79483	19364
383.80099	19788
383.80719	19941
383.81335	19972
383.81952	20199
383.82568	19788
383.83185	19444
383.83801	19084
383.84418	18561
383.85034	18398
383.85654	18617
383.8627	18771
383.86887	19037
383.87503	19430
383.8812	19497
383.88736	19233
383.89352	18972
383.89969	18893
383.90585	18803
383.91202	18710
383.91821	18915
383.92438	19198
383.93054	19673
383.93671	19663
383.94287	19736
383.94904	19811
383.9552	19859
383.96136	19604
383.96753	19782
383.97369	19679
383.97986	19602
383.98605	19255
383.99222	19137
383.99838	18713
384.00455	18625
384.01071	18579
384.01688	18654
384.02304	18743
384.02921	18899
384.03537	19051
384.04153	19434
384.0477	19349
384.05386	19282
384.06003	19164
384.06619	19085
384.07236	19186
384.07852	19257
384.08469	19574
384.09088	20033
384.09705	19921
384.10321	19820
384.10938	19437
384.11554	19011
384.1217	18823
384.12787	18781
384.13403	18915
384.1402	19009
384.14636	19180
384.15253	19193
384.15869	19323
384.16486	19303
384.17102	19348
384.17719	19635
384.18335	19986
384.18951	20214
384.19568	20172
384.20184	19904
384.20801	19537
384.21417	19240
384.22034	19013
384.2265	18926
384.23267	18984
384.23883	19047
384.245	19130
384.25116	19257
384.25732	19087
384.26349	19032
384.26965	19045
384.27582	18942
384.28198	19059
384.28815	19590
384.29431	19635
384.30048	19751
384.30664	19643
384.31281	19529
384.31897	19299
384.32513	19369
384.3313	19470
384.33746	19725
384.34363	19911
384.34979	19473
384.35596	19579
384.36209	19302
384.36826	19470
384.37442	19701
384.38058	19760
384.38675	19691
384.39291	19558
384.39908	19272
384.40524	18998
384.41141	18915
384.41757	18842
384.42374	19054
384.4299	19184
384.43607	19472
384.44223	19527
384.44839	19628
384.45456	19717
384.46072	19524
384.46686	19610
384.47302	19829
384.47919	19828
384.48535	20017
384.49152	19560
384.49768	19232
384.50385	19034
384.51001	19015
384.51617	19292
384.52234	19312
384.5285	19416
384.53464	19531
384.5408	19712
384.54697	19834
384.55313	20056
384.5593	19932
384.56546	20013
384.57162	19921
384.57779	19624
384.58395	19548
384.59012	19377
384.59625	19428
384.60242	19267
384.60858	19690
384.61475	19485
384.62091	19537
384.62708	19661
384.63324	19822
384.6394	20228
384.64554	20483
384.6517	20363
384.65787	20000
384.66403	19902
384.6702	19676
384.67636	19382
384.68253	19653
384.68866	19735
384.69482	20036
384.70099	20203
384.70715	20485
384.71332	20412
384.71948	20116
384.72562	19727
384.73178	19470
384.73795	19301
384.74411	19164
384.75027	19242
384.75644	19070
384.76257	19208
384.76874	19217
