Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
Grating Groove Density (l/mm):599.735
Grating Blaze:                400
Input Flipper Port:           Direct



200	0.0211231
200.0329	40.2882
200.0658	43.0023
200.09869	40.8176
200.13159	35.0052
200.16447	31.6565
200.19737	35.8593
200.23027	41.857
200.26317	42.6037
200.29607	37.4233
200.32896	24.546
200.36186	18.8965
200.39476	24.1143
200.42766	25.6723
200.46056	27.5752
200.49345	33.1874
200.52634	39.2976
200.55923	40.3687
200.59213	34.6654
200.62503	31.6693
200.65793	33.5145
200.69083	32.1728
200.72372	28.6404
200.75662	28.6948
200.78952	28.995
200.82242	28.4493
200.85532	29.4936
200.8882	32.5093
200.9211	33.7911
200.95399	30.0138
200.98689	26.5014
201.01979	27.7516
201.05269	31.7318
201.08559	31.0596
201.11848	27.0438
201.15138	26.8403
201.18428	25.1095
201.21716	23.733
201.25006	27.5481
201.28296	31.2464
201.31586	28.6054
201.34875	25.3925
201.38165	24.1084
201.41455	24.2728
201.44745	26.7208
201.48035	27.7037
201.51324	27.0758
201.54614	23.4663
201.57903	19.9976
201.61192	23.3386
201.64482	28.7274
201.67772	28.9421
201.71062	31.75
201.74352	33.8392
201.77641	34.0473
201.80931	36.2598
201.84221	37.1312
201.87511	36.6048
201.908	34.0998
201.94089	29.6326
201.97379	26.5871
202.00668	25.8202
202.03958	27.1034
202.07248	29.8637
202.10538	33.137
202.13828	34.0437
202.17117	31.7933
202.20407	29.7646
202.23697	30.3466
202.26987	33.7024
202.30275	34.2049
202.33565	30.9489
202.36855	27.8763
202.40144	25.3965
202.43434	22.3692
202.46724	20.5639
202.50014	22.0673
202.53304	25.3227
202.56593	25.1129
202.59883	23.1042
202.63173	20.6778
202.66461	20.0004
202.69751	27.1896
202.73041	33.8039
202.76331	36.0835
202.7962	34.9524
202.8291	29.279
202.862	29.0263
202.8949	33.9965
202.9278	34.6233
202.96069	33.7539
202.99359	35.4659
203.02647	38.4488
203.05937	38.3727
203.09227	35.7852
203.12517	33.9771
203.15807	32.4986
203.19096	29.3681
203.22386	24.2865
203.25676	25.5135
203.28966	31.2738
203.32256	30.7724
203.35544	29.7682
203.38834	33.5213
203.42123	35.2303
203.45413	35.3133
203.48703	34.5626
203.51993	33.7365
203.55283	32.4315
203.58572	30.7627
203.61862	29.8901
203.65152	30.0644
203.68442	27.7794
203.7173	26.7549
203.7502	29.0105
203.7831	32.0895
203.81599	36.1099
203.84889	42.4197
203.88179	43.6312
203.91469	40.3587
203.94759	37.3246
203.98048	31.4087
204.01338	25.703
204.04628	26.1732
204.07916	26.8633
204.11206	26.6963
204.14496	27.5044
204.17786	28.4206
204.21075	30.7086
204.24365	32.625
204.27655	34.4683
204.30945	38.6546
204.34235	41.5217
204.37524	45.6592
204.40814	50.8285
204.44102	53.2343
204.47392	49.4295
204.50682	42.2156
204.53972	37.9446
204.57262	38.9098
204.60551	40.8676
204.63841	43.0214
204.67131	48.8293
204.70421	57.7976
204.73711	61.3502
204.77	56.0132
204.80289	54.4602
204.83578	52.0261
204.86868	48.1004
204.90158	49.9624
204.93448	53.0513
204.96738	55.7059
205.00027	59.6986
205.03317	59.7396
205.06607	53.2322
205.09897	47.4587
205.13187	44.6318
205.16475	44.8563
205.19765	49.5596
205.23055	51.9997
205.26344	49.5239
205.29634	48.2124
205.32924	49.3593
205.36214	49.6425
205.39503	47.4696
205.42793	40.8038
205.46083	35.0423
205.49371	37.9953
205.52661	43.1823
205.55951	45.9198
205.59241	43.0551
205.62531	37.6317
205.6582	33.4537
205.6911	31.7296
205.724	33.1477
205.7569	34.1927
205.78979	33.3639
205.82269	33.2296
205.85558	32.6045
205.88847	30.4015
205.92137	32.3465
205.95427	32.0234
205.98717	27.0789
206.02007	27.4018
206.05296	26.1362
206.08586	24.0568
206.11876	26.1868
206.15166	30.7147
206.18456	30.9625
206.21744	29.4031
206.25034	27.3496
206.28323	21.77
206.31613	17.0457
206.34903	17.8786
206.38193	19.7637
206.41483	21.7523
206.44772	27.9041
206.48062	30.4273
206.51352	25.1313
206.54642	23.4202
206.5793	23.2948
206.6122	21.2845
206.6451	18.6855
206.67799	18.1489
206.71089	19.0742
206.74379	18.2129
206.77669	16.2066
206.80959	14.3354
206.84248	17.5718
206.87538	21.8343
206.90828	22.992
206.94116	20.0734
206.97406	15.6879
207.00696	16.3133
207.03986	23.0139
207.07275	29.1094
207.10565	25.9567
207.13855	19.2563
207.17145	18.6992
207.20435	21.0915
207.23724	23.8651
207.27014	27.1126
207.30302	26.754
207.33592	24.4603
207.36882	23.0615
207.40172	20.2627
207.43462	17.4654
207.46751	16.4496
207.50041	15.1443
207.53331	13.1625
207.56621	17.4629
207.59911	25.5458
207.63199	27.7268
207.66489	22.4276
207.69778	19.3957
207.73068	19.5446
207.76358	20.1395
207.79648	23.4301
207.82938	23.6859
207.86227	17.4097
